date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:10:45	6663/6663	---M--	200	added ('OK')	image/png	etag:%221a07-50e3278ec1904%22	http://timothylock.me/wp-content/uploads/2014/08/medium-150x150.png	C:/My%20Web%20Sites/timothy/timothylock.me/wp-content/uploads/2014/08/medium-150x150.png	(from http://timothylock.ca/competitions/)
19:10:45	21506/21506	---M--	200	added ('OK')	image/png	etag:%225402-50e3278e68b24%22	http://timothylock.me/wp-content/uploads/2014/08/medium.png	C:/My%20Web%20Sites/timothy/timothylock.me/wp-content/uploads/2014/08/medium.png	(from http://timothylock.ca/competitions/)
19:10:47	9754/9754	---M--	200	added ('OK')	image/png	etag:%22261a-50d0c70ff0341%22	http://104.131.44.81/wp-content/uploads/2014/08/mhacks-150x150.png	C:/My%20Web%20Sites/timothy/104.131.44.81/wp-content/uploads/2014/08/mhacks-150x150.png	(from http://timothylock.ca/competitions/)
19:10:49	10044/10044	---M--	200	added ('OK')	image/png	date:Sun,%2008%20Feb%202015%2000:31:58%20GMT	http://localhackday.mlh.io/images/logo.png	C:/My%20Web%20Sites/timothy/localhackday.mlh.io/images/logo.png	(from http://timothylock.ca/competitions/)
19:10:50	602703/602703	---M--	200	added ('OK')	image/jpeg	etag:%229324f-50d0bbb7a6281%22	http://timothylock.me/wp-content/uploads/2014/08/Internet_map_1024-Recovered.jpg	C:/My%20Web%20Sites/timothy/timothylock.me/wp-content/uploads/2014/08/Internet_map_1024-Recovered.jpg	(from http://timothylock.ca/)
19:10:53	86406/86406	---M--	200	added ('OK')	image/png	etag:%2215186-51238c7ba7e04%22	http://timothylock.ca/wp-content/uploads/2014/08/mchacks.png	C:/My%20Web%20Sites/timothy/timothylock.ca/wp-content/uploads/2014/08/mchacks.png	(from http://timothylock.ca/competitions/)
19:10:53	17378/17378	---M--	200	added ('OK')	image/png	etag:%2243e2-50d0bbb7e2b41%22	http://104.131.44.81/wp-content/uploads/2014/08/logo-150x150.png	C:/My%20Web%20Sites/timothy/104.131.44.81/wp-content/uploads/2014/08/logo-150x150.png	(from http://timothylock.ca/competitions/)
19:10:54	1325/1325	---M--	200	added ('OK')	image/gif	etag:%2252d-4f0a873093d80%22	https://cemc.math.uwaterloo.ca/!images/cemc_logo.gif	C:/My%20Web%20Sites/timothy/cemc.math.uwaterloo.ca/!images/cemc_logo.gif	(from http://timothylock.ca/competitions/)
19:10:55	699/699	---M-Z	200	added ('OK')	text/xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d-gzip%22	http://timothylock.ca/programming-projects/feed/	C:/My%20Web%20Sites/timothy/timothylock.ca/programming-projects/feed/index.html	(from http://timothylock.ca/programming-projects/)
19:10:55	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Apr%202015%2023:10:56%20GMT	http://timothylock.ca/?p=414	C:/My%20Web%20Sites/timothy/timothylock.ca/index24eb.html	(from http://timothylock.ca/programming-projects/)
19:10:56	45806/45806	---M--	200	added ('OK')	image/png	etag:%22b2ee-50d0bbb7d7f61%22	http://104.131.44.81/wp-content/uploads/2014/08/logo.png	C:/My%20Web%20Sites/timothy/104.131.44.81/wp-content/uploads/2014/08/logo.png	(from http://timothylock.ca/competitions/)
19:10:56	687/687	---M-Z	200	added ('OK')	text/xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d-gzip%22	http://timothylock.ca/website-design/feed/	C:/My%20Web%20Sites/timothy/timothylock.ca/website-design/feed/index.html	(from http://timothylock.ca/website-design/)
19:10:57	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Apr%202015%2023:10:57%20GMT	http://timothylock.ca/?p=398	C:/My%20Web%20Sites/timothy/timothylock.ca/index9d24.html	(from http://timothylock.ca/website-design/)
19:11:01	30868/30868	---M--	200	added ('OK')	image/jpeg	etag:%22939340c9-7894-4df6ecfcafc91%22	http://8thmarkham.com/wp-content/uploads/2013/06/8th-Markham-Logo.jpg	C:/My%20Web%20Sites/timothy/8thmarkham.com/wp-content/uploads/2013/06/8th-Markham-Logo.jpg	(from http://timothylock.ca/website-design/)
19:11:01	49210/49210	---M--	200	added ('OK')	image/png	etag:%22e1c1d-c03a-50ea9194bb6c5%22	http://roboticscomp.engineering.uoit.ca/logo.png	C:/My%20Web%20Sites/timothy/roboticscomp.engineering.uoit.ca/logo.png	(from http://timothylock.ca/competitions/)
19:11:02	14741/14741	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Apr%202015%2023:11:02%20GMT	http://104.131.44.81/wp-content/uploads/2014/08/8thmarkham-300x206.jpg	C:/My%20Web%20Sites/timothy/104.131.44.81/wp-content/uploads/2014/08/8thmarkham-300x206.4a.delayed	(from http://timothylock.ca/website-design/)
